Phrase,Search Volume,Competing Products,Sponsored ASINs
pocket expandable folder,4,7000,0
accordion pocket folder,53,4000,84
expanding file folder pockets,92,8000,96
accordian file binder,30,590,57
pocket expandable file folder,21,4000,0
file folder binder organizer,47,4000,96
accordian file organizer 13 pocket,40,492,96
accordian portfolio,70,334,56
poly accordian folder,31,341,84
expanding file with pockets,67,10000,84
expandable binder,254,4000,181
expandable document folder,51,3000,96
pocket expanding folder,43,8000,96
files with pockets,85,90000,84
file organizer binder,101,7000,96
expanding divider,50,3000,40
accordian folders 12 pocket,243,647,167
expanding file pocket folders,38,8000,96
plastic accordian file,53,854,96
accordian folder,1953,2000,256
accordion expanding file folder,53,4000,96
accordion binder,268,1000,0
expanding binder,217,2000,119
binder file organizer,60,8000,96
accordian expanding file folder,37,1000,96
expanding file letter size,219,7000,96
13 pocket folder,92,10000,0
accordion folder 13 pockets,95,1000,96
acordian folder with dividers,2329,467,74
poly file dividers,34,1000,64
file with pockets,72,100000,96
accordian binder,274,886,185
filing folder expandable,28,4000,0
files expanding,-,10000,84
binder accordion folder,76,1000,84
file folder accordion,242,5000,226
expanding poly file folder,36,1000,96
expanding file folder pocket,36,8000,96
acordion folder,77,5000,0
pocket document organizer,30,30000,96
expanding file folder black,31,2000,96
acordeon folder,263,5000,0
expanding folder organizer,126,7000,0
7 pocket expanding file letter size,80,586,84
13 pocket accordion folder,73,1000,96
pockets expanding files folder,31,8000,75
accordion folder,4865,5000,96
organizer folder with pockets,39,20000,96
acirdian folder,46,686,64
acordian folder 13 pocket,253,342,150
pocket expanding,7,20000,0
binder file,87,40000,0
expanding poly folder,46,1000,84
blue accordion folder,51,1000,80
file organizer accordian,43,1000,96
folders accordian,48,1000,96
expanding file folder 7 pocket,129,818,96
amazon expanding file,67,3000,95
13 pocket expanding file letter size,47,1000,96
expanding file pack,39,10000,96
file folder binder,211,20000,198
13 pocket accordian file,75,510,96
expanding file with dividers,32,2000,84
13 pocket expandable file,80,1000,84
7 pocket expanding organizer,55,837,96
expandable accordion file,32,2000,96
expanding fule,50,10000,84
accordian files organizer,31,1000,84
13 pocket expandable file folder,44,1000,96
file accordion organizer,46,4000,96
folder expandable,79,6000,96
expanding files,268,20000,289
expanding file 13 pockets,52,2000,96
acordian binder,185,321,46
13 folder expandable,57,1000,96
